0 0 0
9 9 1
26 17 2
32 6 3
33 1 4
34 1 5
42 8 6
43 1 7
44 1 8
55 11 9
63 8 10
64 1 11
65 1 12
74 9 13
87 13 14
88 1 15
127 39 16
173 46 17
216 43 18
267 51 19
318 51 20
353 35 21
389 36 22
425 36 23
461 36 24
496 35 25
532 36 26
568 36 27
604 36 28
643 39 29
681 38 30
718 37 31
755 37 32
791 36 33
829 38 34
866 37 35
902 36 36
941 39 37
978 37 38
988 10 39
1024 36 40
1062 38 41
1099 37 42
1142 43 43
1185 43 44
1228 43 45
1279 51 46
1325 46 47
1376 51 48
1428 52 49
1483 55 50
1538 55 51
1593 55 52
1648 55 53
1702 54 54
1758 56 55
1812 54 56
1867 55 57
1921 54 58
1976 55 59
2030 54 60
2085 55 61
2140 55 62
2196 56 63
2251 55 64
2305 54 65
2359 54 66
2413 54 67
2468 55 68
2523 55 69
2578 55 70
2632 54 71
2687 55 72
2742 55 73
2797 55 74
2813 16 75
